,0,1
0,-21.767454,-75.131516
1,-51.880028,76.719
2,51.261517,19.707888
3,62.39764,-57.986656
4,-20.568739,71.339615
5,-37.33181,47.88212
6,85.83948,-12.699009
7,-30.721563,-20.135927
8,-0.42937845,-31.449303
9,-9.9296465,25.019777
10,-81.11189,-23.424747
11,-82.32972,11.798291
12,-45.318645,19.414724
13,-25.747711,-23.265982
14,69.27385,-51.41505
15,29.408052,41.49683
16,44.767265,64.461754
17,-78.739624,-7.230453
18,-9.324769,35.422825
19,-29.183018,-75.269295
20,-15.904187,8.874454
21,-64.3104,1.1090146
22,55.177914,33.824043
23,8.697505,-9.321845
24,14.955105,51.765564
25,58.36429,-3.0174897
26,-18.797033,38.896755
27,-52.750336,-60.522087
28,-41.997646,-85.71661
29,-17.562464,11.734424
30,5.7968154,67.48491
31,-26.130072,74.782265
32,37.248547,-72.67466
33,-59.699894,-49.71388
34,-6.7435803,6.1278415
35,28.707794,77.76934
36,23.601778,68.65343
37,-27.374096,42.113564
38,53.15351,28.650972
39,-13.519219,-31.501663
40,20.993725,-79.04529
41,99.48893,-11.5348015
42,-82.26527,-13.339471
43,72.355835,-8.272409
44,65.169205,-1.3410877
45,7.0844626,-58.66697
46,-10.938845,-76.48309
47,-62.52731,17.8029
48,40.424156,-61.13316
49,14.035734,17.311846
50,-70.297935,47.955997
51,-7.026869,18.010015
52,-25.857054,59.664536
53,25.494915,5.0905914
54,78.12338,-3.0332098
55,-34.192158,54.266685
56,17.291132,97.95665
57,-42.7326,-17.35687
58,53.737236,30.939692
59,40.266235,59.510532
60,68.56115,-24.11409
61,-46.038433,66.86784
62,31.79334,63.699455
63,-30.284136,82.69221
64,-2.3185143,-2.1886845
65,-34.77117,-33.597233
66,-80.07146,40.44148
67,70.047905,23.380098
68,-15.923049,5.7407565
69,-64.13348,-41.632195
70,47.22597,43.78483
71,-80.31713,-23.903929
72,4.1720786,3.7600555
73,10.630956,-55.232212
74,-13.396328,14.914549
75,-94.33209,-21.164473
76,-21.719498,43.56518
77,-10.849146,-14.343244
78,-24.780142,76.04462
79,-78.94412,-29.044804
80,3.1772072,80.4783
81,48.535244,-29.981897
82,77.92581,19.45205
83,40.24986,37.736332
84,-64.47357,21.665577
85,-29.233898,39.505577
86,-50.14788,10.431687
87,79.806366,14.479417
88,63.085327,-60.324825
89,-71.61614,-51.79638
90,-28.494366,-67.09176
91,96.90106,-9.696201
92,5.2193575,-11.423903
93,-79.44077,42.903732
94,-45.395927,-89.637985
95,-44.397552,-21.270279
96,-47.084095,-76.18169
97,85.546715,15.946245
98,-56.296688,-39.31542
99,-45.067295,16.991589
100,28.336996,40.78545
101,-14.436524,59.15914
102,15.805086,83.09738
103,-61.322807,-71.31869
104,-63.468044,-26.397503
105,14.303008,-16.625597
106,67.49883,-7.0695667
107,-0.72565633,76.316574
108,75.69428,-12.874171
109,67.45934,58.240204
110,-46.4958,-89.41992
111,50.092976,-65.215195
112,5.78596,-5.4596105
113,-57.126682,-13.623047
114,-42.57386,-23.523947
115,50.07359,-35.73137
116,-8.184883,-1.5935454
117,-57.046364,28.97075
118,67.1857,55.90978
119,-40.494682,43.398907
120,-70.68755,37.766518
121,5.552222,-50.705975
122,-66.33885,-53.31798
123,-0.9888987,39.286007
124,-25.673363,43.697773
125,87.282104,4.162421
126,62.09017,-11.857216
127,34.4346,-53.258774
128,23.308048,6.023438
129,-4.4587407,53.610565
130,-15.65681,61.659145
131,-76.19622,-15.464885
132,93.69288,-8.267684
133,-41.717735,-56.76113
134,-35.986343,6.2865324
135,18.703924,49.709618
136,12.219221,-1.376267
137,-8.637181,-11.726211
138,-5.6492085,-70.668884
139,67.15367,-55.68156
140,2.5260658,-63.32351
141,-28.560839,30.132586
142,68.57904,-38.367332
143,-15.906302,75.73897
144,-11.475189,41.476456
145,28.512222,35.03324
146,17.442148,61.410233
147,21.207045,-69.0799
148,-94.413605,-16.748373
149,-83.32696,34.097626
150,-19.313871,63.63361
151,-51.497765,-25.599215
152,-60.788334,23.026083
153,52.65151,66.03058
154,-3.5256062,13.378266
155,-63.345154,-44.627144
156,43.93447,58.984554
157,53.007626,-76.940315
158,-33.622097,67.78643
159,26.854984,80.97436
160,92.90101,11.294065
161,36.92678,58.789948
162,-92.27518,-30.95443
163,-84.5693,27.528309
